gene_id	eigenvalue	R2	beta1	beta2	complex	mean_expr	starvation_maintenance
ECB_01335	0.8483	-0.583	0.7440	0.2557	N	1.0	4.5000
ECB_01652	0.7146	-0.980	0.5332	0.4660	N	220.7	3.2073
ECB_04001	0.7498	0.282	1.3040	-0.3047	N	18.7	9.0441
ECB_03019	0.7275	-0.680	0.5608	0.4374	N	15.0	1.9853
ECB_00339	0.7785	0.096	0.9722	0.0265	N	23.3	9.0361
ECB_00399	0.7958	0.260	1.2389	-0.2401	N	109.6	5.8038
ECB_02711	0.8814	-0.331	0.6941	0.3037	N	9.4	6.2045
ECB_00569	0.0000	-0.642	0.3548	0.6418	N	4.0	1.5833
ECB_03405	0.6680	-0.868	0.4153	0.5815	N	17.5	1.8690
ECB_r00009	0.5870	-0.039	1.2589	-0.2608	N	55393.3	5.8984
ECB_02753	0.8094	-0.822	0.5933	0.4028	N	28.8	1.9881
ECB_02766	0.8508	-0.621	0.7087	0.2877	N	77.7	2.4726
ECB_02214	0.7471	-0.437	0.9570	0.0395	N	1153.6	1.7802
ECB_r00005	0.8056	-0.073	1.2314	-0.2341	N	69086.9	5.5221
ECB_01502	0.6914	0.174	0.9881	0.0080	N	4.9	5.8200
ECB_04023	0.9213	-0.839	0.6048	0.3897	N	28.8	1.9140
ECB_01061	0.4129	-0.289	0.9412	0.0545	N	44.6	2.9145
ECB_00097	0.7915	-0.482	0.7042	0.2906	N	3364.9	1.0370
ECB_04251	0.8558	-0.656	0.2827	0.7101	N	38.9	1.6033
ECB_03448	0.8797	-0.277	0.8557	0.1394	N	22.9	4.0582
ECB_01537	0.6969	-0.042	0.8872	0.1079	N	1.4	3.7500
ECB_r00002	0.7487	-0.035	1.2665	-0.2698	N	43806.4	6.1393
ECB_00134	0.8258	-0.408	0.7663	0.2282	N	19.7	2.5976
ECB_r00012	0.7041	-0.035	1.2671	-0.2705	N	44519.2	6.1493
ECB_00887	0.6509	-0.837	0.6889	0.3050	N	890.0	1.7192
ECB_r00015	0.7073	-0.029	1.2792	-0.2825	N	44644.7	5.8976
ECB_r00021	0.7694	-0.025	1.2848	-0.2882	N	44578.7	6.0905
ECB_04182	0.4862	-0.251	0.7638	0.2302	N	9.6	3.6591
ECB_r00018	0.6623	-0.000	1.3001	-0.3036	N	42663.6	5.9720
ECB_02139	0.8936	-0.564	0.6674	0.3258	N	2.6	1.7400
ECB_t00063	0.6885	-0.640	0.8277	0.1663	N	7448.3	0.7328
ECB_03137	0.8090	-0.659	0.4668	0.5250	N	458.8	1.2034
ECB_03807	0.5863	-0.857	0.6764	0.3162	N	34.2	2.8239
ECB_03436	0.9498	-0.796	0.5899	0.4020	N	5.9	4.6034
ECB_03443	0.8881	-1.045	0.5498	0.4418	N	18.9	2.3429
ECB_02971	0.9091	-0.869	0.4954	0.4958	N	14.2	2.4429
ECB_00155	0.9424	-0.580	0.7706	0.2221	N	411.8	1.5843
RF00113.6	0.7114	-0.899	0.6061	0.3855	N	315.3	1.2654
ECB_t00027	0.9132	0.080	1.2313	-0.2360	N	3384.4	0.9377
ECB_02198	0.6480	0.091	1.0322	-0.0383	N	2.7	5.1000
ECB_01407	0.6852	-0.187	0.8706	0.1221	N	7.3	4.3256
ECB_03511	0.8067	-0.642	0.7635	0.2285	N	1912.1	1.3228
ECB_04086	0.8110	-0.795	0.4037	0.5857	N	138.1	1.6761
ECB_02887	0.5396	-0.151	0.7882	0.2036	N	1.6	3.9545
ECB_01283	0.9481	0.041	0.9710	0.0220	N	79.7	12.6244
ECB_00971	0.9400	-0.537	0.4455	0.5434	N	128.6	1.5166
ECB_04191	0.8402	-0.053	1.1031	-0.1095	N	108.1	10.7740
ECB_04121	0.5772	-0.441	0.7555	0.2356	N	747.4	1.4469
ECB_03737	0.9257	-0.439	0.9365	0.0558	N	764.9	1.3334
ECB_00312	0.6249	-0.650	0.5860	0.4034	N	36.7	1.6890
ECB_01716	0.5717	-0.928	0.4190	0.5681	N	69.2	1.2183
ECB_02292	0.9114	-0.490	0.4451	0.5420	N	21.1	1.6667
ECB_01056	0.7571	-0.940	0.4600	0.5267	N	94.0	1.9957
ECB_02111	0.7238	-0.365	0.9202	0.0705	N	267.4	2.2382
ECB_02364	0.4228	-0.510	0.3422	0.6432	N	144.4	1.6520
ECB_03185	0.4780	0.188	0.9854	0.0056	N	1.3	4.8750
ECB_00298	0.9808	-0.048	1.1537	-0.1614	N	4.6	1.5978
ECB_02299	0.7783	-0.568	0.4540	0.5314	N	9.3	2.1037
ECB_02505	0.8010	-0.577	0.6054	0.3805	N	55.9	2.2589
ECB_02340	0.8625	0.108	1.2124	-0.2206	N	18.4	6.9630
ECB_03917	0.6624	-0.918	0.4872	0.4966	N	68.9	1.1366
ECB_04252	0.8131	-1.005	0.4527	0.5307	N	7.2	3.2143
ECB_02262	0.7505	-0.016	0.9670	0.0217	N	14.2	5.4868
ECB_03592	0.8943	-0.667	0.6470	0.3379	N	4.8	1.6667
ECB_02079	0.7868	-0.874	0.7013	0.2841	N	1008.7	1.3532
RF00113.3	0.7585	-0.756	0.6930	0.2922	N	472.5	1.1630
ECB_r00006	0.7512	-0.209	1.0913	-0.1016	N	95240.6	3.8889
ECB_01819	0.6365	0.044	1.2088	-0.2178	N	245.9	4.1393
ECB_03455	0.6842	-0.601	0.8107	0.1755	N	66.0	2.6746
ECB_01865	0.8591	-0.864	0.6556	0.3286	N	46.0	1.3443
ECB_03389	0.6493	-0.234	1.1388	-0.1489	N	18.7	1.3015
ECB_01352	0.9005	-0.971	0.7245	0.2603	N	146.6	1.2827
ECB_r00001	0.9654	-0.189	1.1104	-0.1211	N	65797.9	4.1419
ECB_00753	0.9787	-0.648	0.3608	0.6190	N	203.6	1.0757
ECB_00145	0.5265	-1.025	0.5520	0.4299	N	163.6	1.3955
ECB_04010	0.7488	-0.510	0.4319	0.5485	N	40.1	2.0740
ECB_03985	0.9623	-0.394	0.7426	0.2417	N	5.5	3.0750
ECB_01326	0.6777	0.577	1.9596	-0.9747	Y	2.1	1.2778
ECB_00144	0.5733	-0.852	0.4099	0.5698	N	718.8	1.0136
ECB_r00010	0.8126	-0.164	1.1352	-0.1462	N	99138.4	4.9122
