analysis_name,dataset_name,target_gene,clock_gene,significant,p_value,q_value,significant_after_fdr,effect_size_f2,effect_size_interpretation,significant_terms,tier
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Myc,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Myc,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Myc,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Myc,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Myc,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Myc,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Myc,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Myc,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnd1,Per2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnd1,Arntl,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnd1,Clock,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnd1,Per1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnd1,Cry1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnd1,Cry2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnd1,Nr1d1,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Ccnd1,Nr1d2,FALSE,1,,FALSE,,,,EXPLORE
"Analysis GSE157357_Alignment-stats-summary.csv 01/12/2025, 09:13:31",GSE157357_Alignment-stats-summary.csv,Lgr5,Per2,FALSE,1,,FALSE,,,,EXPLORE
