dataset,gene,category,n_tp,ar2_ols_mod,ar2_ols_r2,ar2_ols_aic,ar2_ols_b1,ar2_ols_b2,sarimax_mod,sarimax_aic,sarimax_b1,sarimax_b2,ll_mod,ll_aic
GSE11923_Liver_48h,Hif1a,target,48,0.6019572426932236,0.15765217538235776,521.6372522819206,0.2854864989063487,0.1905018563230208,0.6019572426932236,,0.2854864989063487,0.19050185632302083,0.8002578717191119,667.3953881456138
GSE11923_Liver_48h,Adam15,background,48,0.3551787394004167,0.36095228602339646,58.11773153898295,0.6902865800932989,-0.12615193692206914,,,0.6902865800932989,,0.5636793017164066,199.86952457243336
GSE11923_Liver_48h,Fkbp8,background,48,0.39503724903640625,0.07513097060215246,664.2281538016832,0.26416655238361536,-0.15605442812625164,,,0.26416655238361536,,0.4469012137925601,832.6178941390033
GSE11923_Liver_48h,Serpinf1,background,48,0.8881325254219539,0.5811624911535263,867.7729681024864,0.5962178272628691,0.25925893808381534,0.8881325254219539,,0.596217827262869,0.2592589380838154,0.8877607910373762,1024.921101085577
GSE11923_Liver_48h,Yap1,target,48,0.8632051897959797,0.5335198264841123,554.6928699782849,0.6902340687338124,0.14930956938569148,0.8632051897959797,,0.6902340687338124,0.14930956938569145,0.9414050896027182,698.0388686726184
GSE11923_Liver_48h,Wee1,target,48,0.8489950490500107,0.6924688690084917,583.9574468811177,0.7917196915275485,0.04862649496913959,0.8489950490500107,,0.7917196915275485,0.048626494969139594,0.8255712136116137,730.5774811907218
GSE11923_Liver_48h,Bax,target,48,0.3433979039648074,0.04395767095045855,522.6357571198437,-0.19544517439973152,-0.11792212044742308,,,-0.19544517439973155,,0.7650978937772794,671.0656408487482
GSE11923_Liver_48h,Slc39a7,background,48,0.7330447032162227,0.32053463576293206,652.5331892134164,0.4904494207102097,0.177833186866276,0.7330447032162227,,0.49044942071020975,0.177833186866276,0.7956795654063514,803.3652479884382
GSE11923_Liver_48h,Nr1d2,clock,48,0.8109764877716579,0.8325380823155125,774.2490726719028,1.1584558813296648,-0.28179761816069815,,,0.99,,0.8102829076780987,927.795746309477
GSE11923_Liver_48h,Nampt,target,48,0.7648758053129876,0.8138520490451312,661.5751256489558,1.1633655992589427,-0.30479520205341887,,,0.99,,0.7648321213843351,812.8564998343745
GSE11923_Liver_48h,Ccnd1,target,48,0.38916429659321017,0.26125335568392893,537.3288933686716,0.5801492449847964,-0.15144884974288805,,,0.5801492449847964,,0.6517725279361793,692.227255948983
GSE11923_Liver_48h,Sphk2,background,48,0.3904228346378055,0.45437628705640676,505.97001525405915,0.7712716994786706,-0.15242998980661923,,,0.7712716994786707,,0.5090934922033281,656.6707202775849
GSE11923_Liver_48h,Per2,clock,48,0.8679412807448501,0.5846089824552352,470.43935911721405,0.5001477537943105,0.31922318483111695,0.8679412807448501,,0.5001477537943105,0.3192231848311169,0.8284070428597843,622.1866455322364
GSE11923_Liver_48h,Caml,background,48,0.7178902151205807,0.24370786849345005,589.2138965894691,0.26091923068030204,0.32805499832369517,0.7178902151205806,,0.26091923068030204,0.3280549983236951,0.6480313682832192,745.0960470225241
GSE11923_Liver_48h,G6pc,target,48,0.670581844205052,0.4196805062579465,873.5985118917738,0.6200725325868002,0.03387062733449491,0.670581844205052,,0.6200725325868002,0.03387062733449491,0.670346760704134,1032.7463491472497
GSE11923_Liver_48h,Pdlim4,background,48,0.32956002014818164,0.015875450796238755,187.28181279189772,-0.0705596416588481,-0.10860980688006988,,,-0.0705596416588481,,0.9478776278189174,326.39154852804523
GSE11923_Liver_48h,Rbpj,background,48,0.7163009883702212,0.42784230688981595,436.3270231889716,0.6594949789165907,0.04069020071700363,0.7163009883702213,,0.6594949789165908,0.04069020071700364,0.8917366260924982,578.1385374591861
GSE11923_Liver_48h,Dbp,clock,48,0.7705196236073317,0.7153611012931655,868.7204643211198,0.9729438223607526,-0.15597181743250152,,,0.9729438223607526,,0.7701974517397039,1022.9388412421662
GSE11923_Liver_48h,Adamts8,background,48,0.5989956576862437,0.12149467027874183,179.69545176289614,0.36536956366931733,0.139941015838337,0.5989956576862437,,0.36536956366931733,0.139941015838337,1.0832162192649364,309.548672193827
GSE11923_Liver_48h,Mphosph8,background,48,0.640938628835894,0.39293852756759706,524.3299504413545,0.603747254708799,0.023837388337543074,0.6409386288358943,,0.6037472547087991,0.023837388337543078,0.6554840721109283,673.6381206034247
GSE11923_Liver_48h,Serpinb9g,background,48,0.8483155004080567,0.4426148752956923,40.89714909052244,0.4759367101657822,0.3158946997857219,0.8483155004080566,,0.47593671016578215,0.3158946997857218,0.9850226426684612,171.67489995635725
GSE11923_Liver_48h,Adcy9,background,48,0.5219521740910531,0.5192394151569992,566.9066468086464,0.8344528187714793,-0.16311039089580412,,,0.8344528187714793,,0.4701502959294393,717.4473755194791
GSE11923_Liver_48h,Sirt1,target,48,0.4068074338165419,0.1933477967512559,508.78992287465485,0.4917126237836486,-0.16549228820840012,,,0.4917126237836486,,0.7638690432162719,662.8022931293684
GSE11923_Liver_48h,Clock,clock,48,0.8573278794130378,0.7604689579034126,539.1922724656347,0.917621770227456,-0.051691633553486396,,,0.917621770227456,,0.857181667868352,684.6244098978988
GSE11923_Liver_48h,Cops7b,background,48,0.6116852400720465,0.12590368506752758,409.74864042641946,0.25876903305509596,0.21587363481447946,0.6116852400720465,,0.258769033055096,0.21587363481447944,0.8299061585803403,554.0581967724626
GSE11923_Liver_48h,Nfil3,clock,48,0.7717291514860853,0.663126984150509,649.8672245549549,0.8807821667358348,-0.08415939092568823,,,0.8807821667358348,,0.771498968722466,799.3044932673594
GSE11923_Liver_48h,Padi1,background,48,0.9410383298248834,0.5298440451131787,31.948266170511523,0.6050844573597941,0.3161454710427496,0.9410383298248834,,0.6050844573597941,0.31614547104274965,1.0542527146285718,162.5700158543207
GSE11923_Liver_48h,Ccnb1,target,48,0.9004525761411939,0.4700620751090764,-43.120884114903134,0.4045462364323166,0.4465401411156087,0.9004525761411939,,0.4045462364323165,0.44654014111560864,1.016027002662624,87.08614053157244
GSE11923_Liver_48h,Rora,clock,48,0.41438398766870005,0.3449304749210571,587.7875697013932,0.654803441051315,-0.17171408923621334,,,0.654803441051315,,0.4792371065675428,745.5383830395447
GSE11923_Liver_48h,Pparg,target,48,0.28728498326519336,0.010445928968269791,583.732250705584,0.07827387332218799,0.06004575322221579,0.28728498326519336,,0.07827387332218799,0.06004575322221578,0.941280622642649,732.5917760569266
GSE11923_Liver_48h,Per3,clock,48,0.7175636718889471,0.31672725350618836,455.7466973359464,0.4154733567423999,0.21676903577864567,0.7175636718889471,,0.4154733567423998,0.2167690357786457,0.6744595906292469,604.3848004774588
GSE11923_Liver_48h,Atm,target,48,0.43517392849972836,0.0998988344657914,454.6617764717161,0.29199247761973346,0.06230883446773827,0.43517392849972836,,0.29199247761973346,0.06230883446773828,0.8359909665137922,600.379132130203
