Dataset,Gene,Category,Eigenvalue_Modulus,R2,Confidence,ADF_Stationary,ADF_Test_Statistic
GSE54650_Liver_circadian,Npas2,Clock,0.5597,0.5377,Moderate,True,-4.1851
GSE54650_Liver_circadian,Per2,Clock,0.6360,0.7152,Moderate,False,-2.2533
GSE54650_Liver_circadian,Cry1,Clock,0.7595,0.7794,Moderate,True,-4.4788
GSE54650_Liver_circadian,Per1,Clock,0.5738,0.5098,Moderate,True,-3.8150
GSE54650_Liver_circadian,Nr1d1,Clock,0.8112,0.7278,Moderate,False,-2.5319
GSE54650_Liver_circadian,Nr1d2,Clock,0.8564,0.8496,High,True,-3.6418
GSE54650_Liver_circadian,Tef,Clock,0.6573,0.6844,Moderate,True,-4.5378
GSE54650_Liver_circadian,Cry2,Clock,0.5832,0.2057,Moderate,False,-2.4927
GSE54650_Liver_circadian,Rorc,Clock,0.7092,0.6815,Moderate,True,-3.2049
GSE54650_Liver_circadian,Per3,Clock,0.4861,0.5894,Moderate,True,-3.6767
GSE54650_Liver_circadian,Clock,Clock,0.8104,0.8139,Moderate,True,-4.7612
GSE54650_Liver_circadian,Dbp,Clock,0.7917,0.7524,High,True,-3.3811
GSE54650_Liver_circadian,Arntl,Clock,0.7671,0.7867,Moderate,True,-3.5502
GSE54650_Liver_circadian,Bcl2,Target,0.5556,0.0827,Low,False,-2.6841
GSE54650_Liver_circadian,Mcm6,Target,0.4608,0.3592,Moderate,False,-2.3956
GSE54650_Liver_circadian,Sirt1,Target,0.5632,0.0912,Low,False,-2.2146
GSE54650_Liver_circadian,Cdk1,Target,0.6005,0.1162,Moderate,False,-2.2974
GSE54650_Liver_circadian,Lgr5,Target,0.5723,0.0883,Low,False,-1.9077
GSE54650_Liver_circadian,Mdm2,Target,0.7228,0.2336,Moderate,False,-2.3839
GSE54650_Liver_circadian,Trp53,Target,0.7145,0.3660,Moderate,False,-2.7598
GSE54650_Liver_circadian,Axin2,Target,0.1605,0.0640,Low,False,-1.7747
GSE54650_Liver_circadian,Hif1a,Target,0.4684,0.0440,Low,True,-3.5569
GSE54650_Liver_circadian,Ccnb1,Target,0.4040,0.0407,Low,False,-2.7174
GSE54650_Liver_circadian,Myc,Target,0.4163,0.1063,Low,False,-2.4115
GSE54650_Liver_circadian,Apc,Target,0.5755,0.1004,Low,False,-2.8254
GSE54650_Liver_circadian,Ccne2,Target,0.4259,0.3195,High,True,-3.0919
GSE54650_Liver_circadian,Chek2,Target,0.4058,0.0501,Low,False,-2.2957
GSE54650_Liver_circadian,Pparg,Target,0.5014,0.0782,Moderate,True,-3.0013
GSE54650_Liver_circadian,Wee1,Target,0.6151,0.6277,Moderate,False,-2.4020
GSE54650_Liver_circadian,Ccne1,Target,0.4017,0.4022,Moderate,True,-2.9708
GSE54650_Liver_circadian,Bax,Target,0.3916,0.1974,Moderate,True,-3.6705
GSE54650_Liver_circadian,Mki67,Target,0.4398,0.0368,Low,False,-2.9358
GSE54650_Liver_circadian,Ccnd1,Target,0.5868,0.1361,Moderate,False,-1.9879
GSE54650_Liver_circadian,Ctnnb1,Target,0.5649,0.0793,Low,False,-1.8294
