Scenario,True_Modulus,Root_Type,Sample_Size,Noise_Level,N_Replicates,Mean_Estimated,Median_Estimated,Bias,RMSE,MAE,SD,CI95_Lower,CI95_Upper,Coverage_Rate,Recovery_5pct,Recovery_10pct
Low persistence (overdamped),0.31622776601683794,Complex,8,0.1,1000,0.6478,0.6598,0.3315,0.3958,0.3406,0.2163,0.2435,1.0593,0.651,0.024,0.045
Low persistence (overdamped),0.31622776601683794,Complex,8,0.2,1000,0.6487,0.6614,0.3325,0.3967,0.3415,0.2165,0.2435,1.0593,0.647,0.025,0.046
Low persistence (overdamped),0.31622776601683794,Complex,8,0.3,1000,0.6488,0.6614,0.3326,0.3964,0.341,0.2159,0.2448,1.0593,0.644,0.026,0.047
Low persistence (overdamped),0.31622776601683794,Complex,8,0.5,1000,0.6471,0.6625,0.3309,0.3951,0.3402,0.216,0.2402,1.0504,0.645,0.026,0.047
Low persistence (overdamped),0.31622776601683794,Complex,8,1,1000,0.6474,0.6611,0.3312,0.395,0.34,0.2155,0.2442,1.0574,0.646,0.026,0.049
Low persistence (overdamped),0.31622776601683794,Complex,12,0.1,1000,0.573,0.5793,0.2568,0.3125,0.2702,0.1782,0.2176,0.8915,0.687,0.023,0.045
Low persistence (overdamped),0.31622776601683794,Complex,12,0.2,1000,0.5733,0.5793,0.2571,0.3131,0.2705,0.1788,0.2176,0.8915,0.687,0.023,0.045
Low persistence (overdamped),0.31622776601683794,Complex,12,0.3,1000,0.5723,0.5773,0.256,0.312,0.2695,0.1783,0.2176,0.8915,0.689,0.022,0.044
Low persistence (overdamped),0.31622776601683794,Complex,12,0.5,1000,0.5722,0.5783,0.256,0.3121,0.2694,0.1787,0.2176,0.8915,0.69,0.023,0.045
Low persistence (overdamped),0.31622776601683794,Complex,12,1,1000,0.5745,0.5856,0.2583,0.314,0.271,0.1787,0.2215,0.8953,0.686,0.024,0.043
Low persistence (overdamped),0.31622776601683794,Complex,16,0.1,1000,0.534,0.5446,0.2178,0.2741,0.2332,0.1665,0.2125,0.8428,0.728,0.044,0.078
Low persistence (overdamped),0.31622776601683794,Complex,16,0.2,1000,0.5341,0.5446,0.2178,0.2741,0.2334,0.1665,0.2125,0.8428,0.729,0.042,0.078
Low persistence (overdamped),0.31622776601683794,Complex,16,0.3,1000,0.5348,0.5455,0.2186,0.2743,0.2337,0.1658,0.2146,0.8428,0.722,0.042,0.078
Low persistence (overdamped),0.31622776601683794,Complex,16,0.5,1000,0.5374,0.5484,0.2212,0.2763,0.236,0.1657,0.2146,0.8428,0.712,0.04,0.075
Low persistence (overdamped),0.31622776601683794,Complex,16,1,1000,0.5396,0.5481,0.2234,0.2773,0.2373,0.1644,0.22,0.8456,0.704,0.039,0.071
Low persistence (overdamped),0.31622776601683794,Complex,24,0.1,1000,0.4962,0.4997,0.1799,0.2292,0.1943,0.142,0.2075,0.7536,0.745,0.04,0.09
Low persistence (overdamped),0.31622776601683794,Complex,24,0.2,1000,0.496,0.4996,0.1798,0.2287,0.1941,0.1414,0.2075,0.7536,0.743,0.039,0.089
Low persistence (overdamped),0.31622776601683794,Complex,24,0.3,1000,0.4959,0.4993,0.1797,0.2284,0.1937,0.1411,0.2138,0.7536,0.743,0.04,0.09
Low persistence (overdamped),0.31622776601683794,Complex,24,0.5,1000,0.4957,0.4981,0.1795,0.2282,0.1934,0.141,0.2138,0.7536,0.743,0.04,0.088
Low persistence (overdamped),0.31622776601683794,Complex,24,1,1000,0.4958,0.4991,0.1796,0.2284,0.1931,0.1411,0.2224,0.7544,0.745,0.04,0.09
Low persistence (overdamped),0.31622776601683794,Complex,48,0.1,1000,0.4482,0.4457,0.132,0.1773,0.1466,0.1184,0.22,0.6866,0.803,0.057,0.115
Low persistence (overdamped),0.31622776601683794,Complex,48,0.2,1000,0.4486,0.4457,0.1323,0.1779,0.147,0.1189,0.22,0.6866,0.802,0.057,0.116
Low persistence (overdamped),0.31622776601683794,Complex,48,0.3,1000,0.4479,0.4447,0.1317,0.1777,0.1467,0.1193,0.2199,0.6866,0.802,0.057,0.116
Low persistence (overdamped),0.31622776601683794,Complex,48,0.5,1000,0.4467,0.4419,0.1305,0.1773,0.1458,0.1202,0.2199,0.6881,0.806,0.058,0.123
Low persistence (overdamped),0.31622776601683794,Complex,48,1,1000,0.4478,0.4443,0.1316,0.1783,0.1465,0.1203,0.22,0.6881,0.799,0.058,0.124
Target-like,0.5,Real,8,0.1,1000,0.6943,0.7057,0.1943,0.2916,0.2364,0.2175,0.2732,1.0494,0.885,0.053,0.118
Target-like,0.5,Real,8,0.2,1000,0.6934,0.7045,0.1934,0.2914,0.236,0.2182,0.2732,1.0494,0.884,0.053,0.117
Target-like,0.5,Real,8,0.3,1000,0.6931,0.7041,0.1931,0.2915,0.2358,0.2185,0.2732,1.0514,0.884,0.053,0.117
Target-like,0.5,Real,8,0.5,1000,0.6953,0.7045,0.1953,0.2933,0.2375,0.2189,0.2732,1.0519,0.883,0.053,0.115
Target-like,0.5,Real,8,1,1000,0.6934,0.7048,0.1934,0.2837,0.2363,0.2076,0.2775,1.0514,0.851,0.054,0.113
Target-like,0.5,Real,12,0.1,1000,0.6452,0.656,0.1452,0.2233,0.1882,0.1698,0.2902,0.9343,0.852,0.069,0.139
Target-like,0.5,Real,12,0.2,1000,0.6444,0.6552,0.1444,0.2231,0.188,0.1702,0.29,0.9343,0.855,0.07,0.14
Target-like,0.5,Real,12,0.3,1000,0.6435,0.6552,0.1435,0.2234,0.1883,0.1714,0.29,0.9343,0.857,0.07,0.139
Target-like,0.5,Real,12,0.5,1000,0.6438,0.6571,0.1438,0.2239,0.189,0.1717,0.29,0.9306,0.858,0.07,0.138
Target-like,0.5,Real,12,1,1000,0.6411,0.6518,0.1411,0.222,0.187,0.1715,0.2902,0.9343,0.864,0.07,0.139
Target-like,0.5,Real,16,0.1,1000,0.6181,0.6262,0.1181,0.1918,0.1587,0.1512,0.3197,0.9034,0.884,0.083,0.181
Target-like,0.5,Real,16,0.2,1000,0.6182,0.6262,0.1182,0.1918,0.1587,0.1511,0.3201,0.9034,0.883,0.082,0.181
Target-like,0.5,Real,16,0.3,1000,0.6188,0.6269,0.1188,0.1923,0.1592,0.1513,0.321,0.9039,0.884,0.081,0.179
Target-like,0.5,Real,16,0.5,1000,0.6165,0.6252,0.1165,0.1906,0.1578,0.151,0.3203,0.9034,0.885,0.08,0.18
Target-like,0.5,Real,16,1,1000,0.6147,0.6242,0.1147,0.1899,0.1571,0.1514,0.3186,0.9018,0.89,0.082,0.182
