Gene,Category,AR2_Eigenvalue,AR2_R2,AR2_RootType,Cosinor_Amplitude,Cosinor_Phase,Cosinor_qValue,Cosinor_R2,Cosinor_Rhythmic,JTK_Tau,JTK_qValue,JTK_Period,JTK_Rhythmic,Agreement
Gm2889,Other,0.4389,0.047,Real,27.9552,13.89,0.4023,0.1212,False,-0.219,1,28,False,"All agree: none"
Gm10568,Other,0.5682,0.0974,Real,3.4377,13.4,0.0329,0.3737,True,-0.3663,1,20,False,"Partial"
Lypla1,Other,0.6155,0.1109,Real,100.8961,5.81,0.3695,0.1325,False,-0.2505,1,28,False,"AR(2) unique"
Tcea1,Other,0.2818,0.0059,Real,42.3137,13.62,0.2691,0.175,False,-0.292,1,24,False,"All agree: none"
Atp6v1h,Other,0.6277,0.1381,Real,23.9263,20.04,0.5778,0.0739,False,-0.2555,1,20,False,"AR(2) unique"
Oprk1,Other,0.7876,0.3125,Real,2.4006,14.55,0.2159,0.2015,False,-0.2596,1,24,False,"AR(2) unique"
Rb1cc1,Other,0.4183,0.0376,Real,58.3753,16.7,0.0463,0.347,True,-0.365,1,20,False,"Rhythm-only"
Fam150a,Other,0.2566,0.0095,Complex,1.1114,3.97,0.2681,0.1756,False,-0.3413,1,28,False,"All agree: none"
St18,Other,0.3794,0.0201,Real,1.5433,14.15,0.6858,0.0513,False,-0.219,1,28,False,"All agree: none"
Pcmtd1,Other,0.6134,0.1043,Real,139.2964,15.97,0.0128,0.4418,True,-0.4964,0.1482,20,False,"Partial"
Gm30414,Other,0.5229,0.07,Real,0.9556,14.31,0.2795,0.17,False,-0.364,1,20,False,"AR(2) unique"
Rrs1,Other,0.4219,0.028,Real,8.1622,10.99,0.1119,0.269,False,-0.32,1,20,False,"All agree: none"
Adhfe1,Other,0.4445,0.2172,Real,303.6599,0.35,0.0063,0.4877,True,0.5164,0.0993,24,False,"Rhythm-only"
3110035E14Rik,Other,0.4607,0.0697,Complex,0.5751,14.55,0.7677,0.0363,False,-0.1758,1,20,False,"All agree: none"
Sgk3,Other,0.5754,0.0982,Real,43.4819,17.44,0.0423,0.3541,True,0.3418,1,24,False,"Partial"
Mcmdc2,Other,0.4295,0.1595,Real,0.2427,17.57,0.9115,0.0128,False,-0.1022,1,24,False,"All agree: none"
Cspp1,Other,0.5984,0.1549,Real,6.3752,23.39,0.8282,0.026,False,0.2077,1,28,False,"AR(2) unique"
Prex2,Other,0.7288,0.2361,Real,36.9528,9.98,0.0056,0.4962,True,-0.4945,0.1482,24,False,"Partial"
A830018L16Rik,Other,0.6356,0.1382,Real,1.8196,14.38,0.2044,0.2078,False,0.292,1,24,False,"AR(2) unique"
Sulf1,Other,0.2249,0.0043,Complex,0.7505,11.3,0.8301,0.0257,False,-0.223,1,28,False,"All agree: none"
Xkr9,Other,0.5604,0.1264,Real,83.3092,16.2,0.0076,0.476,True,-0.4891,0.1674,20,False,"Partial"
Gm9947,Other,0.3818,0.0198,Real,0.8132,18.89,0.7908,0.0321,False,0.2239,1,28,False,"All agree: none"
Rpl5,Other,0.6818,0.3213,Real,247.9033,12.8,0.0016,0.5687,True,0.6109,0.0171,28,True,"All agree"
Kcnb2,Other,0.7739,0.3065,Real,2.704,14.19,0.2675,0.1759,False,-0.3181,1,20,False,"AR(2) unique"
Terf1,Other,0.4999,0.0559,Real,41.3171,20.44,0.1277,0.2562,False,0.3491,1,24,False,"All agree: none"
Rdh10,Other,0.4042,0.0616,Real,62.0519,4.66,0.0265,0.3897,True,-0.4436,0.351,24,False,"Rhythm-only"
Tmem70,Other,0.322,0.0336,Complex,26.9383,8.43,0.3269,0.1491,False,-0.2993,1,28,False,"All agree: none"
Ly96,Other,0.6407,0.6128,Real,126.8009,1.14,0,0.7726,True,0.6716,0.0057,24,True,"All agree"
Gdap1,Other,0.3254,0.0308,Complex,1.0615,13.45,0.7677,0.0363,False,-0.2077,1,28,False,"All agree: none"
Pi15,Other,0.2994,0.0334,Complex,1.5595,14.25,0.6045,0.0679,False,-0.1439,1,20,False,"All agree: none"
Crispld1,Other,0.7546,0.2795,Real,5.6158,14.3,0.2216,0.1985,False,-0.2732,1,24,False,"AR(2) unique"
Tfap2d,Other,0.7797,0.3137,Real,1.5796,15.7,0.233,0.1928,False,0.3035,1,28,False,"AR(2) unique"
Tfap2b,Other,0.5808,0.1123,Complex,0.919,12.35,0.2189,0.1998,False,-0.2264,1,20,False,"AR(2) unique"
Iars,Other,0.5888,0.2058,Real,130.0783,5.47,0.0004,0.6363,True,-0.6255,0.0127,24,True,"All agree"
Mir206,Other,0.3107,0.0365,Complex,0.2617,0.59,0.3506,0.1393,False,0.2696,1,20,False,"All agree: none"
Il17a,Other,0.1574,0.0251,Complex,0.9505,15.33,0.6495,0.0585,False,0.2004,1,28,False,"All agree: none"
Paqr8,Other,0.391,0.0285,Real,1.73,12.49,0.3151,0.1541,False,-0.2711,1,24,False,"All agree: none"
Efhc1,Other,0.4998,0.0656,Real,1.8247,17.48,0.5583,0.0784,False,0.2295,1,28,False,"All agree: none"
Tmem14a,Other,0.6542,0.3067,Real,27.4773,3.24,0.0001,0.6866,True,0.6715,0.0057,24,True,"All agree"
Gsta3,Other,0.44,0.4174,Real,471.1913,4.24,0,0.8256,True,-0.6909,0.0039,24,True,"Rhythm-only"
Cetn4,Other,0.4038,0.1773,Real,6.1912,14.26,0.6645,0.0555,False,-0.1792,1,20,False,"All agree: none"
Khdc1a,Other,0.2645,0.0054,Complex,0.405,14.69,0.7481,0.0399,False,-0.167,1,28,False,"All agree: none"
Mir30a,Other,0.1307,0.0074,Complex,21.4035,14.25,0.3603,0.1358,False,-0.3242,1,24,False,"All agree: none"
Mir30c-2,Other,0.3011,0.0083,Complex,2.2065,12.9,0.3631,0.1347,False,-0.4205,0.5292,20,False,"All agree: none"
B3gat2,Other,0.475,0.0789,Real,4.3063,13.81,0.0519,0.3379,False,0.4672,0.245,28,False,"All agree: none"
Sdhaf4,Other,0.7675,0.3022,Real,6.8083,3.39,0.601,0.0687,False,0.2214,1,28,False,"AR(2) unique"
Col9a1,Other,0.7766,0.3278,Real,3.6081,14.64,0.5746,0.0746,False,0.1566,1,28,False,"AR(2) unique"
Lmbrd1,Other,0.6309,0.1164,Real,48.1182,18.45,0.1658,0.2299,False,0.3273,1,24,False,"AR(2) unique"
Gm9884,Other,0.555,0.1248,Real,2.0484,13.75,0.2934,0.1639,False,-0.2774,1,20,False,"AR(2) unique"
Cdk10,Other,0.3762,0.0661,Real,6.8249,5.12,0.4356,0.1109,False,0.2774,1,20,False,"All agree: none"
Lgsn,Other,0.692,0.1723,Real,3.2721,13.48,0.1391,0.2476,False,0.4322,0.4435,28,False,"AR(2) unique"
Pih1d3,Other,0.5307,0.0881,Real,1.3786,14.23,0.3685,0.1328,False,-0.2836,1,20,False,"AR(2) unique"
Paox,Other,0.4642,0.2116,Real,83.5463,1.77,0.0522,0.3376,False,-0.4262,0.4721,24,False,"All agree: none"
Khdrbs2,Other,0.482,0.061,Real,1.2861,14.4,0.1098,0.2711,False,-0.366,1,20,False,"All agree: none"
1700001G17Rik,Other,0.4986,0.0802,Complex,1.847,5.13,0.8088,0.0291,False,-0.1898,1,24,False,"All agree: none"
Rab23,Other,0.6338,0.1353,Real,25.9865,3.58,0.059,0.3273,False,-0.4682,0.2335,28,False,"AR(2) unique"
Dst,Other,0.701,0.2459,Real,37.8891,9.27,0.0002,0.6621,True,-0.6084,0.0185,24,True,"All agree"
Imp4,Other,0.5677,0.1481,Real,72.7713,3.55,0.004,0.5169,True,0.5521,0.0544,20,False,"Partial"
D1Ertd448e,Other,0.493,0.4476,Complex,58.1979,4.53,0.0005,0.623,True,-0.5818,0.0296,24,True,"Rhythm-only"
Ptpn18,Other,0.3884,0.0427,Complex,0.6888,22.71,0.8052,0.0297,False,0.1725,1,20,False,"All agree: none"
Prss39,Other,0.4048,0.0274,Complex,1.0377,15.59,0.5819,0.0729,False,-0.2157,1,20,False,"All agree: none"
Cfc1,Other,0.3116,0.0174,Complex,2.5278,12.01,0.3131,0.155,False,-0.3358,1,24,False,"All agree: none"
Amer3,Other,0.3816,0.1423,Complex,0.7395,15.21,0.7351,0.0422,False,-0.1725,1,20,False,"All agree: none"
C230030N03Rik,Other,0.7171,0.1943,Real,4.2421,15.48,0.1528,0.2381,False,0.3303,1,28,False,"AR(2) unique"
Arhgef4,Other,0.3667,0.0181,Real,4.3038,15.2,0.0546,0.3338,False,0.4247,0.4727,28,False,"All agree: none"
Plekhb2,Other,0.6485,0.1521,Real,54.2379,2.93,0.0069,0.4826,True,0.5137,0.1075,24,False,"Partial"
Hs6st1,Other,0.3283,0.1798,Complex,124.4042,13.54,0.0068,0.4833,True,0.4655,0.245,24,False,"Rhythm-only"
Arid5a,Other,0.5426,0.1566,Real,1.853,18.94,0.746,0.0402,False,0.245,1,28,False,"AR(2) unique"
Fer1l5,Other,0.6099,0.1129,Real,0.4597,18.83,0.5508,0.0802,False,-0.1905,1,28,False,"AR(2) unique"
Cnnm4,Other,0.6625,0.1845,Real,15.1561,5.31,0.0004,0.6371,True,-0.5865,0.0281,24,True,"All agree"
