gene,geneType,eigenvalue,networkDegree,tissue
Npas2,clock,0.5597,88,Liver
Per2,clock,0.636,156,Liver
Bcl2,target,0.5556,256,Liver
Mcm6,target,0.4608,78,Liver
Sirt1,target,0.5632,267,Liver
Cdk1,target,0.6005,245,Liver
Cry1,clock,0.7595,134,Liver
Lgr5,target,0.5723,45,Liver
Mdm2,target,0.7228,198,Liver
Per1,clock,0.5738,142,Liver
Trp53,target,0.7145,356,Liver
Axin2,target,0.1605,78,Liver
Nr1d1,clock,0.8112,98,Liver
Hif1a,target,0.4684,278,Liver
Ccnb1,target,0.404,167,Liver
Nr1d2,clock,0.8564,76,Liver
Myc,target,0.4163,312,Liver
Tef,clock,0.6573,54,Liver
Apc,target,0.5755,167,Liver
Cry2,clock,0.5832,118,Liver
Rorc,clock,0.7092,95,Liver
Ccne2,target,0.4259,98,Liver
Per3,clock,0.4861,89,Liver
Chek2,target,0.4058,145,Liver
Clock,clock,0.8104,187,Liver
Pparg,target,0.5014,234,Liver
Dbp,clock,0.7917,67,Liver
Wee1,target,0.6151,89,Liver
Arntl,clock,0.7671,201,Liver
Ccne1,target,0.4017,134,Liver
Bax,target,0.3916,189,Liver
Mki67,target,0.4398,89,Liver
Ccnd1,target,0.5868,198,Liver
Rora,clock,0.2241,112,Liver
Ctnnb1,target,0.5649,289,Liver
Atm,target,0.6341,234,Liver
Npas2,clock,0.7903,88,Kidney
Per2,clock,0.8357,156,Kidney
Bcl2,target,0.6984,256,Kidney
Mcm6,target,0.3409,78,Kidney
Sirt1,target,0.4575,267,Kidney
Cdk1,target,0.5959,245,Kidney
Cry1,clock,0.805,134,Kidney
Lgr5,target,0.6437,45,Kidney
Mdm2,target,0.4635,198,Kidney
Per1,clock,0.5902,142,Kidney
Trp53,target,0.5849,356,Kidney
Axin2,target,0.4265,78,Kidney
Nr1d1,clock,0.8823,98,Kidney
Hif1a,target,0.3909,278,Kidney
Ccnb1,target,0.3914,167,Kidney
Nr1d2,clock,0.8788,76,Kidney
Myc,target,0.7047,312,Kidney
Tef,clock,0.8756,54,Kidney
Apc,target,0.4752,167,Kidney
Cry2,clock,0.6726,118,Kidney
Rorc,clock,0.9589,95,Kidney
Ccne2,target,0.1975,98,Kidney
Per3,clock,0.8339,89,Kidney
Chek2,target,0.1939,145,Kidney
Clock,clock,0.6559,187,Kidney
Pparg,target,0.6468,234,Kidney
Dbp,clock,0.8922,67,Kidney
Wee1,target,0.6353,89,Kidney
Arntl,clock,0.8986,201,Kidney
Ccne1,target,0.5752,134,Kidney
Bax,target,0.6733,189,Kidney
Mki67,target,0.6033,89,Kidney
Ccnd1,target,0.5275,198,Kidney
Rora,clock,0.3675,112,Kidney
Ctnnb1,target,0.5325,289,Kidney
Atm,target,0.5105,234,Kidney
Npas2,clock,0.7665,88,Heart
Per2,clock,0.7796,156,Heart
Bcl2,target,0.5287,256,Heart
Mcm6,target,0.6297,78,Heart
Sirt1,target,0.5011,267,Heart
Cdk1,target,0.2044,245,Heart
Cry1,clock,0.5848,134,Heart
Lgr5,target,0.3744,45,Heart
Mdm2,target,0.4241,198,Heart
Per1,clock,0.6381,142,Heart
Trp53,target,0.7596,356,Heart
Axin2,target,0.4464,78,Heart
Nr1d1,clock,0.8402,98,Heart
Hif1a,target,0.3076,278,Heart
Ccnb1,target,0.3949,167,Heart
Nr1d2,clock,0.7049,76,Heart
Myc,target,0.1971,312,Heart
Tef,clock,0.7322,54,Heart
Apc,target,0.6259,167,Heart
Cry2,clock,0.5249,118,Heart
Rorc,clock,0.735,95,Heart
Ccne2,target,0.1995,98,Heart
Per3,clock,0.7767,89,Heart
Chek2,target,0.5147,145,Heart
Clock,clock,0.7112,187,Heart
Pparg,target,0.56,234,Heart
Dbp,clock,0.8524,67,Heart
Wee1,target,0.6708,89,Heart
Arntl,clock,0.7262,201,Heart
Ccne1,target,0.4863,134,Heart
Bax,target,0.268,189,Heart
Mki67,target,0.5233,89,Heart
Ccnd1,target,0.2038,198,Heart
Rora,clock,0.4261,112,Heart
Ctnnb1,target,0.6622,289,Heart
Atm,target,0.5897,234,Heart
Npas2,clock,0.7963,88,Lung
Per2,clock,0.888,156,Lung
Bcl2,target,0.5314,256,Lung
Mcm6,target,0.7539,78,Lung
Sirt1,target,0.6204,267,Lung
Cdk1,target,0.1693,245,Lung
Cry1,clock,0.8478,134,Lung
Lgr5,target,0.6355,45,Lung
Mdm2,target,0.4626,198,Lung
Per1,clock,0.5214,142,Lung
Trp53,target,0.3861,356,Lung
Axin2,target,0.5614,78,Lung
Nr1d1,clock,0.8736,98,Lung
Hif1a,target,0.5158,278,Lung
Ccnb1,target,0.537,167,Lung
Nr1d2,clock,0.8704,76,Lung
Myc,target,0.2937,312,Lung
Tef,clock,0.9296,54,Lung
Apc,target,0.563,167,Lung
Cry2,clock,0.7818,118,Lung
Rorc,clock,0.9151,95,Lung
Ccne2,target,0.3838,98,Lung
Per3,clock,0.936,89,Lung
Chek2,target,0.3846,145,Lung
Clock,clock,0.824,187,Lung
Pparg,target,0.2984,234,Lung
Dbp,clock,0.8938,67,Lung
Wee1,target,0.8828,89,Lung
Arntl,clock,0.8234,201,Lung
Ccne1,target,0.6254,134,Lung
Bax,target,0.5336,189,Lung
Mki67,target,0.4952,89,Lung
Ccnd1,target,0.4145,198,Lung
Rora,clock,0.5484,112,Lung
Ctnnb1,target,0.685,289,Lung
Atm,target,0.662,234,Lung
