Gene,Eigenvalue,Tissue,Dataset,Gene_Type,Root_Type,Phi1,Phi2,Biological_Role,Nguyen_Classification,PAR2_Layer
Arntl,0.767,Liver,GSE54650,clock,complex,1.52,-0.59,Core clock (BMAL1),Clock,Layer 3 (phase source)
Arntl,0.06,Organoid_WT,GSE157357,clock,complex,0.02,-0.004,Core clock (BMAL1),Clock,Layer 3 (phase source)
Per2,0.636,Liver,GSE54650,clock,complex,-0.18,-0.40,Core clock,Clock,Layer 3 (phase source)
Per2,0.6185,Cerebellum,GSE54650,clock,complex,-0.17,-0.38,Core clock (near φ),Clock,Layer 3 (phase source)
Per2,0.52,Organoid_WT,GSE157357,clock,complex,-0.09,-0.26,Core clock,Clock,Layer 3 (phase source)
Per1,0.574,Liver,GSE54650,clock,complex,0.32,-0.33,Core clock,Clock,Layer 3 (phase source)
Cry1,0.759,Liver,GSE54650,clock,complex,0.90,-0.58,Core clock,Clock,Layer 3 (phase source)
Cry2,0.583,Liver,GSE54650,clock,complex,0.42,-0.34,Core clock,Clock,Layer 3 (phase source)
Clock,0.810,Liver,GSE54650,clock,complex,1.25,-0.66,Core clock,Clock,Layer 3 (phase source)
Nr1d1,0.811,Liver,GSE54650,clock,complex,1.41,-0.66,Core clock (REV-ERBα),Clock,Layer 3 (phase source)
Nr1d2,0.856,Liver,GSE54650,clock,complex,1.52,-0.73,Core clock (REV-ERBβ),Clock,Layer 3 (phase source)
Hes1,0.6188,Hypothalamus,GSE54650,signaling,complex,0.38,-0.38,NOTCH effector (near φ),Signaling (NOTCH),Layer 2 (fast kernel α₁)
Notch1,0.55,Liver,GSE54650,signaling,complex,0.30,-0.30,NOTCH receptor,Signaling (NOTCH),Layer 2 (fast kernel α₁)
Axin2,0.46,Organoid_WT,GSE157357,target,complex,-0.01,-0.21,WNT feedback,Target (WNT),Layer 2 (slow kernel α₂)
Axin2,0.161,Genome-wide,GSE54650,target,real,0.16,0.00,WNT feedback,Target (WNT),Layer 2 (slow kernel α₂)
Axin2,0.896,Blood_Aligned,GSE48113,target,complex,1.27,-0.80,WNT feedback,Target (WNT),Layer 2 (slow kernel α₂)
Lgr5,0.572,Liver,GSE54650,target,complex,0.33,-0.33,LGR5+ stem cell marker,Stem cell,Readout
Lgr5,0.34,Organoid_WT,GSE157357,target,complex,0.05,-0.11,LGR5+ stem cell marker,Stem cell,Readout
Wee1,0.6151,Liver,GSE54650,target,complex,0.43,-0.38,G2/M checkpoint (near φ),Target (cell cycle),Readout
Cdk1,0.601,Liver,GSE54650,target,complex,0.36,-0.36,Mitotic kinase,Target (cell cycle),Readout
Ccnd1,0.587,Liver,GSE54650,target,complex,0.34,-0.34,Cyclin D1,Target (cell cycle),Readout
Apc,0.576,Liver,GSE54650,target,complex,0.33,-0.33,WNT negative regulator,Target (WNT),Readout
Myc,0.416,Liver,GSE54650,target,real,0.42,0.00,Oncogene,Target (proliferation),Readout
Dclk1,0.9999,Organoid_WT,GSE157357,marker,complex,1.99,-1.00,Tuft cell marker,Tuft cell,Readout (delayed)
Nampt,0.72,Liver,GSE54650,target,complex,0.52,-0.52,NAD+ biosynthesis,Target (metabolism),Readout
Reg4,0.85,Organoid_WT,GSE157357,marker,complex,1.20,-0.72,DCS cell marker,Paneth-like/DCS,Kernel component
