Gene,CT0,CT4,CT8,CT12,CT16,CT20,CT24,CT28,CT32,CT36
Per2,0.52,1.24,1.85,1.48,0.76,0.31,0.55,1.28,1.92,1.42
Arntl,1.72,1.35,0.68,0.42,0.85,1.48,1.78,1.32,0.62,0.45
Clock,1.12,1.08,0.95,1.02,1.15,1.22,1.08,1.05,0.98,1.04
Cry1,0.85,1.42,1.78,1.55,0.92,0.48,0.82,1.45,1.82,1.52
Cry2,1.15,1.52,1.25,0.78,0.55,0.92,1.18,1.48,1.22,0.82
Nr1d1,1.85,1.22,0.58,0.42,0.88,1.65,1.92,1.18,0.55,0.45
Nr1d2,1.65,1.08,0.52,0.48,0.95,1.72,1.68,1.05,0.48,0.52
Wee1,1.22,1.55,2.12,1.82,1.28,1.08,1.25,1.58,2.08,1.78
Ccnd1,2.15,1.82,1.42,1.62,2.05,2.28,2.12,1.78,1.48,1.65
Myc,1.85,2.12,1.75,1.42,1.28,1.52,1.88,2.08,1.72,1.45
Cdk1,0.92,1.28,1.65,1.42,1.05,0.78,0.95,1.32,1.68,1.38
Tp53,1.45,1.32,1.18,1.25,1.38,1.52,1.42,1.28,1.22,1.28
Cdkn1a,1.08,1.35,1.62,1.45,1.12,0.92,1.05,1.38,1.58,1.42
